Convergence_modifier,,,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
Solver_noise,,,0.0,0.0,0.0,0.02,0.02,0.02,0.1,0.1,0.1,0.0,0.0,0.0,0.02,0.02,0.02,0.1,0.1,0.1,0.0,0.0,0.0,0.02,0.02,0.02,0.1,0.1,0.1,0.0,0.0,0.0,0.02,0.02,0.02,0.1,0.1,0.1
Convergence_types,,,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating,Stable up,Stable down,Alternating
Metric,Proposed_method,Nr_initial_samples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cost_total,True,1,2297,2275,2286,3341,2330,2319,2330,2308,2308,,2462,2308,3440,2803,,3385,2374,2297,2352,11627,,10473,4803,3330,1550,22803,2297,1352,1253,,1352,1253,,2385,,3407
cost_total,True,3,5286,4275,4286,4308,4330,4308,4308,4319,4319,14484,30792,,13528,8418,,7418,,,,6385,3264,4264,6275,,3330,7803,3242,,10363,,,8319,4594,,7374,
cost_total,False,3,4253,11418,11484,4264,12418,16583,4253,16462,7396,4330,5429,9341,23770,4308,4341,4341,8660,11572,7440,9605,4253,5352,52792,10770,4253,5286,7374,5330,7627,9473,5363,4418,8451,5363,7550,6385
cost_high,True,1,2000,2000,2000,3000,2000,2000,2000,2000,2000,,2000,2000,3000,2000,,3000,2000,2000,2000,11000,,10000,4000,3000,1000,22000,2000,1000,1000,,1000,1000,,2000,,3000
cost_high,True,3,5000,4000,4000,4000,4000,4000,4000,4000,4000,14000,30000,,13000,8000,,7000,,,,6000,3000,4000,6000,,3000,7000,3000,,10000,,,8000,4000,,7000,
cost_high,False,3,4000,11000,11000,4000,12000,16000,4000,16000,7000,4000,5000,9000,23000,4000,4000,4000,8000,11000,7000,9000,4000,5000,52000,10000,4000,5000,7000,5000,7000,9000,5000,4000,8000,5000,7000,6000
nr_samples_high,True,1,2,2,2,3,2,2,2,2,2,,2,2,3,2,,3,2,2,2,11,,10,4,3,1,22,2,1,1,,1,1,,2,,3
nr_samples_high,True,3,5,4,4,4,4,4,4,4,4,14,30,,13,8,,7,,,,6,3,4,6,,3,7,3,,10,,,8,4,,7,
nr_samples_high,False,3,4,11,11,4,12,16,4,16,7,4,5,9,23,4,4,4,8,11,7,9,4,5,52,10,4,5,7,5,7,9,5,4,8,5,7,6
nr_samples_low,True,1,27,25,26,31,30,29,30,28,28,,42,28,40,73,,35,34,27,32,57,,43,73,30,50,73,27,32,23,,32,23,,35,,37
nr_samples_low,True,3,26,25,26,28,30,28,28,29,29,44,72,,48,38,,38,,,,35,24,24,25,,30,73,22,,33,,,29,54,,34,
nr_samples_low,False,3,23,38,44,24,38,53,23,42,36,30,39,31,70,28,31,31,60,52,40,55,23,32,72,70,23,26,34,30,57,43,33,38,41,33,50,35
z_diff_absolute,True,1,1.2999999999985246e-05,0.0021130000000000315,0.00021300000000001873,0.11821300000000001,0.04811300000000002,0.08821299999999999,0.365113,0.015713000000000032,0.0067130000000000245,,4.009313,0.419913,0.333813,2.6247130000000003,,0.8468129999999999,0.439713,0.40511300000000006,20.928113,0.044613000000000014,,7.771113000000001,7.7826130000000004,5.743313000000001,20.928113,5.841513,9.375013,5.086213,94.477513,,5.086213,94.477513,,5.086213,,12.718912999999999
z_diff_absolute,True,3,0.01581300000000002,0.002613000000000032,1.2999999999985246e-05,0.03961300000000001,0.0009129999999999971,0.01961299999999999,0.010512999999999995,0.05371300000000001,0.14121300000000003,3.2154130000000003,1.3580130000000001,,0.507213,2.359713,,0.014012999999999998,,,,5.359413,20.928113,16.311113,16.464413,,20.928113,9.013212999999999,20.928113,,5.695213,,,11.442212999999999,20.928113,,4.177713,
z_diff_absolute,False,3,3.622713,0.008512999999999993,0.03071299999999999,3.622713,0.016013,0.009713000000000027,3.622713,0.0008130000000000082,0.09081300000000003,3.622713,29.668713,3.622713,1.3864130000000001,29.914413,3.622713,3.622713,27.830013,3.622713,9.692312999999999,8.965313,20.928113,0.528713,0.08891300000000002,17.429313,18.135513,29.914413,7.780213000000001,5.044513,7.804813,16.501313,5.086213,29.914413,3.4210130000000003,5.086213,10.141212999999999,20.928113
z_diff_relative,True,1,6.037934449135932e-06,0.000981396576233761,9.892923366673279e-05,0.05490479577203969,0.022346395396277453,0.040971100889402486,0.1695791046561438,0.00729800492302929,0.0031178964582381273,,1.8621514676996922,0.19503132064176107,0.15504161632859234,1.2190650032163775,,0.3933077988216883,0.20422755926430164,0.18815736449966008,9.720198033711764,0.02072079765996978,,3.6093439146831794,3.61468516438819,2.6675190319161226,9.720198033711764,2.7131286598319546,4.354285688758572,2.362324668336759,43.88069464707963,,2.362324668336759,43.88069464707963,,2.362324668336759,,5.907381766026922
